"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:1903825","organic acid transmembrane transport","7/272","156/28832",0.0448717948717949,4.75641025641026,4.59104166893563,0.00072624117498301,0.00926885178436345,0.00662070806083243,"Akt1/Akt2/Arl6ip1/Cd36/Mpc2/Prkcd/Thbs1",7,"BP"
"GO:0097529","myeloid leukocyte migration","9/272","255/28832",0.0352941176470588,3.74117647058824,4.29075751340888,0.000754358692803748,0.00959269944994439,0.00685203130343845,"C1qbp/Cd9/Emp2/Hmgb1/Lgals3/Pf4/Ptk2/Rps19/Thbs1",9,"BP"
"GO:0002685","regulation of leukocyte migration","9/272","257/28832",0.0350194552529183,3.71206225680934,4.26194950960873,0.000797188161857205,0.0101006050797632,0.00721482649918821,"Akt1/Apod/C1qbp/Cd9/Ecm1/Hmgb1/Lgals3/Ptk2/Thbs1",9,"BP"
"GO:0071482","cellular response to light stimulus","6/272","117/28832",0.0512820512820513,5.43589743589744,4.69196993051682,0.000870495436878421,0.0109896120677395,0.0078498410477389,"Akt2/Crip1/Ei24/Mfap4/Pold3/Prkcd",6,"BP"
"GO:0045333","cellular respiration","9/272","261/28832",0.0344827586206897,3.6551724137931,4.20518845930686,0.000888794317438044,0.0111802652089239,0.00798602391245921,"Akt1/Cox6b1/Cyc1/Mtch2/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7",9,"BP"
"GO:0010765","positive regulation of sodium ion transport","4/272","46/28832",0.0869565217391304,9.21739130434783,5.44323929311365,0.000925924842225618,0.0115229863817188,0.00823082843454351,"Akt1/Akt2/Akt3/Fxyd2",4,"BP"
"GO:0030835","negative regulation of actin filament depolymerization","4/272","46/28832",0.0869565217391304,9.21739130434783,5.44323929311365,0.000925924842225618,0.0115229863817188,0.00823082843454351,"Capza1/Capza2/Cfl1/Tpm1",4,"BP"
"GO:0071402","cellular response to lipoprotein particle stimulus","4/272","46/28832",0.0869565217391304,9.21739130434783,5.44323929311365,0.000925924842225618,0.0115229863817188,0.00823082843454351,"Akt1/Cd36/Cd9/Ces1c",4,"BP"
"GO:0034599","cellular response to oxidative stress","9/272","263/28832",0.0342205323193916,3.62737642585551,4.17722489036556,0.000937705179735084,0.0115816814080246,0.0082727540843256,"Akt1/Cd36/Cfl1/Mb/Plekha1/Prkcd/Scly/Sod1/Vkorc1l1",9,"BP"
"GO:0034614","cellular response to reactive oxygen species","7/272","163/28832",0.0429447852760736,4.5521472392638,4.43826973359072,0.000939673215607843,0.0115816814080246,0.0082727540843256,"Akt1/Cd36/Cfl1/Mb/Plekha1/Prkcd/Sod1",7,"BP"
"GO:0006417","regulation of translation","11/272","375/28832",0.0293333333333333,3.10933333333333,4.01237481924038,0.000940576928761503,0.0115816814080246,0.0082727540843256,"Akt1/Akt2/Bzw2/C1qbp/Eif5a/Eif5b/Krt17/Rps9/Srp9/Ssb/Thbs1",11,"BP"
"GO:0005976","polysaccharide metabolic process","6/272","119/28832",0.0504201680672269,5.34453781512605,4.63460771708417,0.000950864391403323,0.0116264782403406,0.00830475230327599,"Akt1/Akt2/Gaa/Hmgb1/Ptges3/Pygm",6,"BP"
"GO:0050764","regulation of phagocytosis","6/272","119/28832",0.0504201680672269,5.34453781512605,4.63460771708417,0.000950864391403323,0.0116264782403406,0.00830475230327599,"C3/Cd36/Dnm2/Hmgb1/Ptk2/Sod1",6,"BP"
