Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q99JY9,ARP3_MOUSE,Actin-related protein 3 OS=Mus musculus OX=10090 ,Actr3,58159800,58347900,48209000,53285400,56742400,54811400,55881400,54541700,49726500,46303500,56674200,61391000,57805800,53112200,52256600,56798000,54279700,58715300
Q641P0,ARP3B_MOUSE,Actin-related protein 3B OS=Mus musculus OX=10090 ,Actr3b,895864,831517,,2019440,1664430,2151120,900740,2071520,946198,,,1580650,1039230,1276030,1259870,969411,1528030,1700680
Q99JW2,ACY1_MOUSE,Aminoacylase-1 OS=Mus musculus OX=10090 ,Acy1,1714940,4369510,,4428650,3468300,4605950,4821540,4468650,3912050,1664980,3944710,3917880,3540060,4569120,4247470,3362440,3421740,3890370
Q91XE4,ACY3_MOUSE,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus OX=10090 ,Acy3,2690040,2960020,2782170,3720310,4567510,3685910,2915080,3837030,4491300,3528020,3813410,3146650,3736350,4866110,4662500,3909090,4158670,4205060
P56376,ACYP1_MOUSE,Acylphosphatase-1 OS=Mus musculus OX=10090 ,Acyp1,12980500,17864000,19019700,23225900,24743500,22409300,24006200,25023100,17404000,3150940,23445800,22260700,25240400,23388100,19709400,13316400,21834800,27651900
P56375,ACYP2_MOUSE,Acylphosphatase-2 OS=Mus musculus OX=10090 ,Acyp2,12801700,13183100,13768300,15739800,14116700,17006400,26141900,29935300,16991100,10546600,16725700,13921400,17262400,14844600,17615100,20532200,17865300,18244900
O35598,ADA10_MOUSE,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 ,Adam10,18949600,13669500,15710900,18588300,25749500,21408900,29854900,22741000,18280100,14880300,21415000,22897400,21949700,22047400,18603800,22326100,16840800,27573200
Q9R1V4,ADA11_MOUSE,Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus OX=10090 ,Adam11,3283430,2757000,2398570,1685650,1740920,1453590,1175920,2460740,2661260,2498250,2808260,1247070,2805180,2264540,2208310,2604020,1507110,2458150
Q9Z0F8,ADA17_MOUSE,Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 ,Adam17,1418530,1546820,1798450,2041660,2170780,1800270,1844340,1904200,1846920,1767270,2126850,2469060,1970280,1821430,1977660,2565960,2319820,1806340
Q9R1V6,ADA22_MOUSE,Disintegrin and metalloproteinase domain-containing protein 22 OS=Mus musculus OX=10090 ,Adam22,12146800,7711700,8168920,6147160,7238180,6226000,6899520,7109850,5204420,6764890,8763490,7978280,8140250,7086060,6701310,4234260,5844740,8350150
Q9R1V7,ADA23_MOUSE,Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 ,Adam23,16161200,14432800,13363700,11099500,16010400,13239700,14309800,14484900,12826400,12217000,17995200,14535900,15520700,13717600,13120100,13259600,11224400,16735400
Q80T21,ATL4_MOUSE,ADAMTS-like protein 4 OS=Mus musculus OX=10090 ,Adamtsl4,,,,,,,,,,,104584,,,,,,,
D3Z689,D3Z689_MOUSE,ADAMTS-like 5 OS=Mus musculus OX=10090 ,Adamtsl5,,,,,533632,,,,,,,804558,,625610,,,,
E9PY16,E9PY16_MOUSE,ArfGAP with dual PH domains 1 OS=Mus musculus OX=10090 ,Adap1,6573370,9247070,2831280,9555980,10947200,9602880,11073800,10659000,10356500,4742380,10872100,11203600,11036000,11584100,10760100,11213500,10031000,11482500
Q9D0L4,ADCK1_MOUSE,AarF domain-containing protein kinase 1 OS=Mus musculus OX=10090 ,Adck1,,606123,402291,510671,377318,662560,1308000,898983,428669,723414,859482,543751,629942,587592,652649,530232,599764,437417
Q9QYC0,ADDA_MOUSE,Alpha-adducin OS=Mus musculus OX=10090 ,Add1,51938500,52925900,54434900,54017100,58401100,64679600,50636500,56083800,45144400,42183400,55682500,60646900,58768500,56843500,57508700,45602800,59111200,57093000
Q9QYB8,ADDB_MOUSE,Beta-adducin OS=Mus musculus OX=10090 ,Add2,30680000,31040100,30213700,28354400,35360800,34607400,26763200,30767700,33445800,25821800,38821100,37463500,38074900,31311200,31362400,34177000,30081900,38406400
Q9QYB5,ADDG_MOUSE,Gamma-adducin OS=Mus musculus OX=10090 ,Add3,22636800,23889800,16560100,25347100,23737100,23068000,21996700,19951300,18561700,15094600,20219500,23957000,23797000,27373200,23933400,17973700,23504900,23944000
Q8K209,AGRG1_MOUSE,Adhesion G-protein coupled receptor G1 OS=Mus musculus OX=10090 ,Adgrg1,,116241,,,,,,,192627,,,,174262,,,52018,76673,
Q6F3F9,AGRG6_MOUSE,Adhesion G-protein coupled receptor G6 OS=Mus musculus OX=10090 ,Adgrg6,,53437000,,35104800,35636900,,,53883600,53043700,,45853900,59969600,,,,121215000,41980900,43351300
P00329,ADH1_MOUSE,Alcohol dehydrogenase 1 OS=Mus musculus OX=10090 ,Adh1,11344100,14541500,13023100,16037700,10052300,12135600,17064500,18689100,12919900,10604000,9400810,11482500,13170100,18557900,19508200,11087700,13369000,9235630
P28474,ADHX_MOUSE,Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 ,Adh5,5488480,9756800,15865000,6716440,10662100,6375140,16065500,14650600,15132100,1600650,13247200,10612900,10345200,11923400,8508590,10213800,9897230,13941300
Q64437,ADH7_MOUSE,All-trans-retinol dehydrogenase [NAD(+)] ADH7 OS=Mus musculus OX=10090 ,Adh7,,2058970,,2303950,890271,1297480,1361640,1513660,3087860,,904811,1650000,,2762560,1781610,,1848120,858606
Q8R0N6,HOT_MOUSE,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Adhfe1,1631670,1647320,,2560300,2243930,2323450,2764610,3047840,3312580,,,2113040,2498060,2782260,2008610,1383820,2930510,1427410
Q60994,ADIPO_MOUSE,Adiponectin OS=Mus musculus OX=10090 ,Adipoq,13402300,13825100,21661200,21672700,10689300,11755400,12426900,11561400,16422300,14603800,9876770,14752500,16379700,16114600,16855300,13861500,10804100,9232480
Q9D1K7,ADSSP_MOUSE,Adipose-secreted signaling protein OS=Mus musculus OX=10090 ,Adissp,8488190,4382190,6445430,5941140,7942750,6152700,5993300,6993680,8324300,6702620,7332460,6643710,6309200,6852210,3332120,9305020,5873500,7478360
P55264,ADK_MOUSE,Adenosine kinase OS=Mus musculus OX=10090 ,Adk,19634000,13008100,10154500,12522200,12967400,14100100,12223300,13067100,16776600,14355600,12068800,11869800,12625300,11113300,12938500,19258300,12564800,11420600
Q6PDY2,AEDO_MOUSE,2-aminoethanethiol dioxygenase OS=Mus musculus OX=10090 ,Ado,6211030,7867470,3294120,5855680,5005920,6562980,2909990,5596240,6394620,4574010,6600460,6742050,5164810,7004850,6675560,6040130,5768690,5943130
Q8VDL4,ADPGK_MOUSE,ADP-dependent glucokinase OS=Mus musculus OX=10090 ,Adpgk,,1412330,1718260,1977810,,1520470,2311130,,1303990,2225710,1301330,2205650,1698810,1827950,1580430,930196,2068120,1750830
P54923,ADPRH_MOUSE,ADP-ribosylhydrolase ARH1 OS=Mus musculus OX=10090 ,Adprh,5785820,6987660,6966490,6610760,7074220,7051140,7260290,9674680,7020690,6074750,7747480,3528500,6851960,5799790,6346900,6746050,7114290,7300730
Q8CG72,ADPRS_MOUSE,ADP-ribosylhydrolase ARH3 OS=Mus musculus OX=10090 ,Adprs,9488720,6063560,9499070,7260530,7574180,8299080,8371400,8155560,7477520,7740600,7149960,8533820,7356530,9666390,8191840,9085230,6455200,6699980
P54822,PUR8_MOUSE,Adenylosuccinate lyase OS=Mus musculus OX=10090 ,Adsl,12890400,10160900,8294420,10609100,11685100,11541500,19616200,24790600,10485800,8840030,11265000,10484500,12177700,11180300,11644100,11933600,12915900,11321900
P28650,PURA1_MOUSE,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus OX=10090 ,Adss1,1780240,3292060,,3066290,3668930,4385810,30443700,27452800,3093120,1170930,2087610,4506210,5833790,6484310,3932030,4338280,4115360,3512410
P46664,PURA2_MOUSE,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 ,Adss2,6263240,7907590,6934230,8628040,7826280,8830430,7270330,7777520,6748110,7136040,14005800,6538900,7643860,6553290,7858240,6913700,6875020,8236710
Q640N1,AEBP1_MOUSE,Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 ,Aebp1,4750740,4238010,4610170,4707000,4387690,3987370,3624090,4529660,3624170,5155550,4506050,4270610,4185750,4245310,4349220,3296350,4801170,3818360
Q80YS6,AFAP1_MOUSE,Actin filament-associated protein 1 OS=Mus musculus OX=10090 ,Afap1,1060050,1149430,2366520,1478180,1016710,859279,1022820,807473,1284500,1665980,1743500,1088060,1150590,1230760,1552100,1078920,1010120,1260790
Q5DTU0,AF1L2_MOUSE,Actin filament-associated protein 1-like 2 OS=Mus musculus OX=10090 ,Afap1l2,2354250,2271800,1691390,1839980,4023440,2803310,2515310,1382260,2545290,1914860,2726440,2797530,2322550,3212090,2147570,2648000,2180880,2112740
Q9QZQ1,AFAD_MOUSE,Afadin OS=Mus musculus OX=10090 ,Afdn,1960900,1697530,1654700,,899027,1376470,1078330,1333290,924467,1099720,1071660,1076970,1103970,1378880,1015260,1396250,1786370,1246520
Q3V384,AFG1L_MOUSE,AFG1-like ATPase OS=Mus musculus OX=10090 ,Afg1l,548108,,,457029,,,453022,1139840,400208,391068,610039,,,,555286,,438392,510362
Q920A7,AFG31_MOUSE,AFG3-like protein 1 OS=Mus musculus OX=10090 ,Afg3l1,,123538,,,,,,,,152353,,,,,,,,243752
Q8JZQ2,AFG32_MOUSE,AFG3-like protein 2 OS=Mus musculus OX=10090 ,Afg3l2,3559750,5312410,4302720,4880670,4742050,4389870,6027820,7431380,3953610,2603730,4423880,4739080,4265980,4524210,5016550,3616230,4205250,5499010
O89020,AFAM_MOUSE,Afamin OS=Mus musculus OX=10090 ,Afm,9095370,9867290,12238300,7733890,7398580,7071860,10258500,7172950,8692830,7928770,6627710,7432200,6629860,9834820,8617920,7971600,7668550,5007010
Q80WT5,AFTIN_MOUSE,Aftiphilin OS=Mus musculus OX=10090 ,Aftph,184461,,284672,342999,521708,401116,,,446089,,329947,,284274,,385970,460266,350570,254196
Q8BXK8,AGAP1_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 ",Agap1,1132310,1392240,1642240,854452,764119,1312820,686725,1431440,813403,1264650,1440010,1214610,1177930,,1189660,456909,915062,1144770
Q8VHH5,AGAP3_MOUSE,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Mus musculus OX=10090 ",Agap3,4418110,5199670,3945950,5281700,4939150,5659800,4831890,5540450,5577720,4786650,5979990,4213250,4985600,4952920,4132460,4477180,3671330,5701570
Q8K2K6,AGFG1_MOUSE,Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus OX=10090 ,Agfg1,2956560,3559440,1633810,3613840,4633920,4277310,3461900,3681540,3881390,2210350,4028490,3856100,3998790,3895310,3534240,3886530,4543850,3808150
Q80WC7,AGFG2_MOUSE,Arf-GAP domain and FG repeat-containing protein 2 OS=Mus musculus OX=10090 ,Agfg2,1854330,1706260,1437150,1758940,1656850,1580580,1145660,1639550,1420570,1814830,1703140,1460080,1577180,1505960,1502470,1559940,1820860,1665780
Q9ESW4,AGK_MOUSE,"Acylglycerol kinase, mitochondrial OS=Mus musculus OX=10090 ",Agk,4106500,9718020,2975370,6376180,5629680,6157880,5693200,7249600,2171440,4175540,6523570,5303310,5725110,6426570,5755220,3474790,5558660,9703840
F8VPN4,F8VPN4_MOUSE,Glycogen debranching enzyme OS=Mus musculus OX=10090 ,Agl,10807600,9628910,11625500,9488340,7361350,9117910,30912400,36722500,8472710,13472900,9474530,7810970,9494810,8389910,8937720,10002100,8687040,8840850
Q8BS35,ALKMO_MOUSE,Alkylglycerol monooxygenase OS=Mus musculus OX=10090 ,Agmo,,410873,,454969,,306073,350834,338285,317852,,408271,,338380,205962,456268,,,312562
Q8CJG1,AGO1_MOUSE,Protein argonaute-1 OS=Mus musculus OX=10090 ,Ago1,323917,415672,,686503,,612491,,200040,485060,358290,386894,497100,583253,446918,627695,469156,576183,482716
Q8CJG0,AGO2_MOUSE,Protein argonaute-2 OS=Mus musculus OX=10090 ,Ago2,1786400,1682190,1735810,1721800,2172160,1779130,1940260,1627780,1675920,1493590,1710850,1777980,1838350,1186710,1784310,1449640,1772920,1745930
O35083,PLCA_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus OX=10090 ,Agpat1,5774580,5274240,4768960,3590230,2626720,3658770,3911170,4664230,3541100,3734230,4372890,3413220,4748270,4024430,4402000,3828270,4233010,5222300
Q8K3K7,PLCB_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Mus musculus OX=10090 ,Agpat2,4711010,35135800,17888900,24734900,,14485900,16167100,19787600,43272900,20809300,13082700,,19993600,,28265100,18833500,21550100,12692700
Q9D517,PLCC_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus OX=10090 ,Agpat3,9596070,5860900,6955780,11776200,12643600,13531900,8905450,8252430,7191570,5665480,10101300,11062800,12580400,13570100,12662700,6828310,12519400,9537840
Q8K4X7,PLCD_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus OX=10090 ,Agpat4,,3051680,2461800,2920800,3109620,3006020,2983470,2964670,1337120,2563620,2942500,2553860,2636890,2052380,3413140,2497350,3410200,2011280
Q9D1E8,PLCE_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Mus musculus OX=10090 ,Agpat5,,401537,,,,,1357570,,,530964,240211,,,,,,,
Q8C0I1,ADAS_MOUSE,"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Mus musculus OX=10090 ",Agps,3456330,1757240,2495430,2257690,2529240,2714620,2748690,2691680,2874730,2016430,3014490,2426270,2132330,2305110,2311940,1799230,2762010,2362070
A2ASQ1,AGRIN_MOUSE,Agrin OS=Mus musculus OX=10090 ,Agrn,1966170,2836790,2593580,1996120,1149650,1477840,2437160,2012140,2359670,2294920,2558330,1621160,2170170,1383660,1434420,2118680,1536320,2718300
P11859,ANGT_MOUSE,Angiotensinogen OS=Mus musculus OX=10090 ,Agt,3761030,2894720,7533120,3966070,3184150,3065540,2959290,2112350,4325100,2206210,1948120,3702030,2908700,3677250,3239580,4450720,2110220,1962540
Q641K1,CBPC1_MOUSE,Cytosolic carboxypeptidase 1 OS=Mus musculus OX=10090 ,Agtpbp1,,964023,,925661,740669,976292,711419,736631,894622,884125,774675,520812,596832,787554,965420,649474,610881,815537
P50247,SAHH_MOUSE,Adenosylhomocysteinase OS=Mus musculus OX=10090 ,Ahcy,51719300,60718600,47581600,57209700,58446200,62641200,55048500,64200000,56019900,43082300,57138600,58664200,61790100,62139000,60410000,57144200,56095300,61409800
Q80SW1,SAHH2_MOUSE,S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus OX=10090 ,Ahcyl1,2271440,3730590,7069130,3952750,3290850,3003130,3586560,2992020,5651130,6103670,1878310,3838530,2964990,2248950,1169050,5278530,5455870,1654470
E9Q616,E9Q616_MOUSE,AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 ,Ahnak,873358000,670993000,891804000,836192000,857180000,858134000,782919000,750359000,747204000,857592000,787423000,831906000,810223000,859055000,791206000,759329000,842700000,809508000
A0A7N9VR94,A0A7N9VR94_MOUSE,AHNAK nucleoprotein 2 OS=Mus musculus OX=10090 ,Ahnak2,564344000,605633000,439330000,455424000,625323000,590699000,599536000,507262000,519686000,450658000,672244000,678900000,615583000,568007000,513063000,572593000,425510000,722307000
Q8BK64,AHSA1_MOUSE,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 ,Ahsa1,67871400,43488700,25863700,47692700,51139300,46160400,47871500,45275200,45279000,50686500,45860800,44173500,40178000,45754200,40105000,50168000,40654400,43452500
Q8N9S3,AHSA2_MOUSE,Activator of 90 kDa heat shock protein ATPase homolog 2 OS=Mus musculus OX=10090 ,Ahsa2,1491580,1591500,1505410,1189020,1534540,1892200,1858350,1662250,1631120,1757030,1187840,1507940,1426590,1359450,1354220,1185720,1118020,1716930
P29699,FETUA_MOUSE,Alpha-2-HS-glycoprotein OS=Mus musculus OX=10090 ,Ahsg,33060300,15422600,18368100,9786590,18699600,15746600,27081300,13719500,20597400,17634600,9108240,28054000,15901600,29764500,17956600,14217000,13610900,8733210
Q8C4Q6,AIDA_MOUSE,"Axin interactor, dorsalization-associated protein OS=Mus musculus OX=10090 ",Aida,2879040,2194870,1280540,819137,1862400,2303110,2127020,1656260,2059920,1979820,2231680,2029380,1985450,2029240,2055960,2353220,2640800,2162770
Q9EQX4,AIF1L_MOUSE,Allograft inflammatory factor 1-like OS=Mus musculus OX=10090 ,Aif1l,961312,952129,,427866,664276,407324,429852,465695,1135670,,627865,659098,501769,534766,,1719970,489841,700861
Q9Z0X1,AIFM1_MOUSE,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 ",Aifm1,6606310,7212910,7816760,5584450,7784100,6940780,12889900,13682800,7175550,7645330,6463370,7667580,8049410,8416490,8556660,7186430,6761240,6854410
Q8BUE4,FSP1_MOUSE,Ferroptosis suppressor protein 1 OS=Mus musculus OX=10090 ,Aifm2,1920160,2166770,2345300,2381890,1889450,1941010,1467220,1726270,3059030,2071190,1565680,1713140,1443550,1662360,2042050,2177130,1502480,1584570
P31230,AIMP1_MOUSE,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 ,Aimp1,7788950,5046250,12676700,6875530,7014770,6276690,8446450,9750300,6404470,7754910,8034830,6561260,7664970,7303330,6376070,4945290,6623210,5881260
Q8R010,AIMP2_MOUSE,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus OX=10090 ,Aimp2,3049680,5610460,961667,5548360,4581980,5597570,7871870,7210410,6090700,2456430,6930880,5422850,5819950,7078360,6128900,6014690,5949380,5342510
O08915,AIP_MOUSE,AH receptor-interacting protein OS=Mus musculus OX=10090 ,Aip,7730720,11220400,9096840,10679500,9470770,11413700,11341200,11346500,10982900,11379500,11782800,10642500,10830000,10044800,11260300,12038000,11524600,11622300
A2AJA9,AJM1_MOUSE,Apical junction component 1 homolog OS=Mus musculus OX=10090 ,Ajm1,,,,,,,,14858,,76348,,,,,,,,
Q9R0Y5,KAD1_MOUSE,Adenylate kinase isoenzyme 1 OS=Mus musculus OX=10090 ,Ak1,52120700,81965700,72076100,64374000,45699800,32054600,130224000,226036000,59300400,87338400,50304100,81772100,54794000,45850900,49423400,80116400,92618000,52748100
Q9WTP6,KAD2_MOUSE,"Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 ",Ak2,10670800,10918000,10843400,7969770,7168980,7487270,12860400,12610400,14769300,11724600,6396310,10378800,10491800,13647700,12487900,10362900,8719540,7913460
Q9WTP7,KAD3_MOUSE,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus OX=10090 ",Ak3,13310500,12017200,10923600,10994900,12541400,10674700,15489500,12471900,16087900,11522500,11596500,12040100,13565800,15952300,13870400,14576000,11899800,11059400
Q920P5,KAD5_MOUSE,Adenylate kinase isoenzyme 5 OS=Mus musculus OX=10090 ,Ak5,931053,1492830,673057,1289710,1242770,1062340,1524390,1559980,1199970,1056450,1553290,1444990,1262520,1249130,1513250,1045640,1498650,1292540
O08715,AKAP1_MOUSE,"A-kinase anchor protein 1, mitochondrial OS=Mus musculus OX=10090 ",Akap1,,481120,607773,,,292210,536346,851702,301148,499802,456728,289230,338129,183074,477143,250978,,200422
O88845,AKA10_MOUSE,"A-kinase anchor protein 10, mitochondrial OS=Mus musculus OX=10090 ",Akap10,3597300,,2259970,,,3061680,2630260,,1728270,1642260,,2686190,,2664360,,,,
Q9WTQ5,AKA12_MOUSE,A-kinase anchor protein 12 OS=Mus musculus OX=10090 ,Akap12,39072700,37014800,32380500,36418400,39802700,42651900,26717700,36652100,34225500,31634000,38479000,37110600,38541000,37051400,36923500,34674500,40120200,32686500
Q9DBR0,AKAP8_MOUSE,A-kinase anchor protein 8 OS=Mus musculus OX=10090 ,Akap8,397468,470038,505913,,333871,339552,188534,611637,,520842,,,,410592,,432859,,312943
Q9JII6,AK1A1_MOUSE,Aldo-keto reductase family 1 member A1 OS=Mus musculus OX=10090 ,Akr1a1,41914700,32506500,36746600,34401200,41035800,33136900,37651400,32759000,40597900,33492100,28526300,35969500,31893900,41931500,32168900,38539100,31162700,35723600
P45376,ALDR_MOUSE,Aldo-keto reductase family 1 member B1 OS=Mus musculus OX=10090 ,Akr1b1,83379000,70638800,80355700,85446700,91621200,93929500,107845000,91438100,86001300,68898800,71352900,75074500,71109600,92876000,77996400,77738400,88704200,64284900
G5E895,G5E895_MOUSE,"Aldo-keto reductase family 1, member B10 (aldose reductase) OS=Mus musculus OX=10090 ",Akr1b10,,2172230,,2239490,1949870,2673180,4658890,5061480,2274760,,3468600,2574190,2640090,2759860,2839560,1565980,2028830,3569640
P21300,ALD1_MOUSE,Aldo-keto reductase family 1 member B7 OS=Mus musculus OX=10090 ,Akr1b7,,,,915128,594597,1023760,242065,,,,,1298810,,925874,1130340,,,
P45377,ALD2_MOUSE,Aldose reductase-related protein 2 OS=Mus musculus OX=10090 ,Akr1b8,,2541970,,1526080,2558980,2090940,2003470,2469090,3047610,307235,2192580,1956140,2369640,2478850,2520300,2006770,2508450,2258450
Q9DCT1,AKCL2_MOUSE,"1,5-anhydro-D-fructose reductase OS=Mus musculus OX=10090 ",Akr1e2,3171840,3444170,,2209450,4275800,2889680,3644520,2778020,3764110,3277890,2431790,3435300,1896030,2495510,2363830,3496210,2349290,2244740
Q8CG76,ARK72_MOUSE,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus OX=10090 ,Akr7a2,1780130,3958050,5197890,5131910,5597780,4794270,5603010,4836460,3972480,,4261290,4355900,4591450,4698460,4778130,3511330,3102830,4028920
P31750,AKT1_MOUSE,RAC-alpha serine/threonine-protein kinase OS=Mus musculus OX=10090 ,Akt1,,766436,,1488770,3263910,3492120,3264470,2994710,,,2136060,3887900,2725120,3921620,2550150,3296230,1757930,2365310
Q9D1F4,AKTS1_MOUSE,Proline-rich AKT1 substrate 1 OS=Mus musculus OX=10090 ,Akt1s1,298486,1588910,,2139220,,,,,928390,,1486770,1575750,2256140,1947230,,1013050,750197,799185
Q60823,AKT2_MOUSE,RAC-beta serine/threonine-protein kinase OS=Mus musculus OX=10090 ,Akt2,,765485,,2014480,3015810,1913100,3571550,2965270,5311310,,1881930,2733200,2946720,4532270,3452130,2929970,1818910,2511930
Q9WUA6,AKT3_MOUSE,RAC-gamma serine/threonine-protein kinase OS=Mus musculus OX=10090 ,Akt3,,3760470,,3411240,5117230,4490790,5084560,3557040,3466840,,4729540,4792960,4865600,5980960,4883860,2834280,3966070,5462120
Q64362,AKTIP_MOUSE,AKT-interacting protein OS=Mus musculus OX=10090 ,Aktip,,348925,,290056,,392710,,,,,,,,392522,,1023620,,
P10518,HEM2_MOUSE,Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 ,Alad,15688000,17014800,13230400,16025300,18318100,14805100,16395100,16271000,16031000,14806500,15918200,16053000,16064500,18947000,15961200,15914400,18054800,15532200
